id,won_lottry,male,base_age,finish8th,use_fin_aid,school
3,1,0,11,1,1,2
4,0,1,11,1,1,2
5,0,1,11,1,0,1
6,0,0,9,0,0,1
10,1,1,11,1,1,5
11,1,0,11,1,1,2
12,0,0,11,1,0,1
15,1,0,12,1,1,2
16,0,1,12,0,0,3
17,0,0,14,1,1,5
21,1,1,11,0,1,2
22,0,0,10,1,1,5
24,0,1,12,1,1,3
25,0,0,14,1,1,2
27,0,0,14,1,0,5
28,0,1,14,1,0,2
39,1,0,11,1,1,1
41,0,0,14,1,0,4
42,0,0,13,1,0,4
46,0,1,10,0,1,4
48,0,1,10,1,1,5
52,1,1,13,1,1,3
55,1,1,15,1,1,1
58,1,0,10,1,1,2
60,0,0,11,0,1,5
63,0,0,13,0,0,4
64,0,1,12,0,0,1
73,1,1,11,1,1,4
74,1,0,10,1,1,3
75,0,0,11,1,0,4
76,1,1,14,1,1,5
77,1,1,15,0,1,1
80,1,0,11,0,1,3
82,0,1,12,0,0,5
86,1,1,13,1,1,4
87,1,0,14,1,1,2
88,1,1,13,1,1,1
89,0,1,13,0,0,4
91,1,1,14,0,1,5
93,0,1,10,1,1,4
95,0,1,15,0,0,5
97,0,0,10,1,0,2
98,0,0,10,1,0,5
100,0,0,11,0,0,5
103,1,1,15,1,0,4
105,1,0,13,0,1,5
107,1,1,13,1,1,4
110,0,0,12,1,0,2
112,1,0,13,1,1,5
113,1,1,11,1,1,1
115,1,0,13,1,1,5
117,1,1,11,1,1,2
118,0,1,13,1,0,4
119,1,1,13,1,1,3
120,1,1,11,0,1,2
121,0,1,15,0,0,1
123,1,1,11,1,1,5
128,1,0,11,1,1,2
131,1,0,14,1,1,2
134,1,0,13,1,1,4
136,1,1,13,1,1,4
140,1,0,11,1,1,5
141,1,1,13,1,1,4
144,1,0,12,0,0,2
149,0,1,11,1,0,4
153,1,0,12,1,1,1
156,0,1,12,0,0,2
157,1,1,11,0,0,1
158,0,0,10,1,1,4
160,0,0,15,1,0,2
165,1,0,12,1,1,5
168,0,0,11,1,0,3
173,0,0,11,1,0,1
176,0,1,11,1,0,3
177,1,1,10,1,1,1
183,0,1,13,1,0,4
185,1,1,15,0,0,2
186,0,0,11,1,0,1
187,0,0,11,1,0,1
192,0,0,11,1,0,2
193,0,1,12,0,1,2
196,1,0,14,1,1,3
198,1,1,11,1,1,1
199,0,1,11,0,1,1
201,1,0,12,1,1,1
204,0,0,10,0,0,2
205,1,0,12,0,1,1
207,0,1,11,0,0,2
209,1,1,15,0,0,5
211,0,0,14,0,1,5
212,0,1,12,1,0,1
213,0,1,12,1,0,5
214,1,1,11,0,1,5
216,0,0,10,1,1,5
218,0,0,11,0,0,2
220,1,0,11,1,1,4
223,1,0,12,0,1,3
224,1,1,15,1,1,3
226,0,1,13,1,0,3
228,0,1,13,1,0,2
229,1,0,11,0,1,4
230,1,1,11,0,1,5
231,1,0,13,1,1,4
234,1,0,11,1,1,3
236,1,0,10,1,1,4
237,1,1,13,1,0,4
238,0,1,10,1,0,4
239,1,1,12,1,1,1
241,1,0,13,1,1,4
242,1,0,10,1,1,5
243,1,0,12,1,1,3
244,1,1,11,1,1,5
245,1,1,15,1,1,5
250,0,1,11,1,0,1
251,0,0,14,1,1,3
252,0,0,12,1,0,3
254,1,0,11,0,1,4
256,0,0,14,0,1,1
257,1,1,12,0,1,2
258,0,0,12,1,0,3
261,0,0,12,0,0,1
262,1,0,11,1,1,2
263,0,1,13,0,0,3
264,1,0,11,1,1,3
266,1,1,11,1,1,1
267,1,1,12,1,1,1
269,0,1,11,0,1,4
273,1,1,12,1,1,1
276,0,0,12,1,1,1
279,1,0,11,1,1,5
282,0,1,12,1,0,2
285,0,1,12,0,1,1
286,1,0,12,1,1,2
287,1,0,9,1,1,4
288,1,0,10,0,1,4
289,1,1,11,1,1,3
290,1,1,13,1,1,3
293,1,0,11,1,1,2
298,1,1,11,1,0,4
299,1,0,13,1,1,4
300,0,0,11,1,1,3
301,0,1,12,1,0,1
